Year,Date,Month,Species,ID,Tissue,Treatment,Tot.NSC,Starch,Tot.Sug,Suc,Gluc.Fruc
2012,2012-06-26,6,JUMO,102,bole,A,1.732594022,0.841194793,0.891399229,0.636182257,0.255216972
2012,2012-06-26,6,JUMO,102,leaf,A,4.484518036,0,4.484518036,1.528070114,2.956447922
2012,2012-06-26,6,JUMO,102,twig,A,4.484616916,1.723360471,2.761256445,0.671251922,2.090004523
2012,2012-06-26,6,JUMO,103,bole,D,2.023618795,0.361367386,1.66225141,1.084137535,0.578113875
2012,2012-06-26,6,JUMO,103,leaf,D,7.504318892,3.305070566,4.199248326,1.987129819,2.212118508
2012,2012-06-26,6,JUMO,103,twig,D,3.963549835,1.445715248,2.517834587,0.375576542,2.142258045
2012,2012-06-26,6,JUMO,104,bole,D,0.960876332,0.511094489,0.449781843,0.42007735,0.029704493
2012,2012-06-26,6,JUMO,104,leaf,D,6.000957394,2.833491228,3.167466166,1.494521303,1.672944863
2012,2012-06-26,6,JUMO,104,root,D,3.650926037,2.162638066,1.488287971,0.387269544,1.101018427
2012,2012-06-26,6,JUMO,104,twig,D,4.402587364,2.070138032,2.332449333,1.161827854,1.170621479
2012,2012-06-26,6,JUMO,105,leaf,HD,4.825655173,1.632568516,3.193086657,1.670133734,1.522952924
2012,2012-06-26,6,JUMO,105,twig,HD,7.261192983,5.714704436,1.546488547,0.600450895,0.946037653
2012,2012-06-26,6,JUMO,106,bole,D,2.1010452,0.860351104,1.240694097,0.660425522,0.580268575
2012,2012-06-26,6,JUMO,106,leaf,D,6.091264986,1.154028011,4.937236975,0.903964146,4.03327283
2012,2012-06-26,6,JUMO,106,twig,D,4.89268872,2.1130435,2.77964522,0.443695626,2.335949594
2012,2012-06-26,6,JUMO,107,bole,HD,0.541087472,0.277825599,0.263261873,0.201566712,0.061695161
2012,2012-06-26,6,JUMO,107,leaf,HD,5.803223699,1.366701482,4.436522217,0.926818751,3.509703466
2012,2012-06-26,6,JUMO,107,twig,HD,3.530040212,0.613024339,2.917015873,0.886395768,2.030620106
2012,2012-06-26,6,JUMO,108,bole,HD,NA,NA,1.054200655,0.524388659,0.529811996
2012,2012-06-26,6,JUMO,108,leaf,HD,NA,NA,NA,NA,2.696968995
2012,2012-06-26,6,JUMO,108,root,HD,10.67017143,7.49977143,3.1704,1.3592,1.8112
2012,2012-06-26,6,JUMO,108,twig,HD,5.751038396,2.834647374,2.916391022,1.445031788,1.471359235
2012,2012-06-26,6,JUMO,109,leaf,D,5.568530774,1.971278943,3.597251832,1.484683338,2.112568494
2012,2012-06-26,6,JUMO,109,twig,D,4.858660429,2.884090672,1.974569758,0.713071123,1.261498635
2012,2012-06-26,6,JUMO,110,bole,D,2.387635835,0.950920463,1.436715372,0.700289058,0.736426314
2012,2012-06-26,6,JUMO,110,leaf,D,8.539084058,2.497744928,6.041339131,1.356075362,4.685263769
2012,2012-06-26,6,JUMO,110,root,D,3.972289923,3.118794711,0.853495212,0.057442317,0.796052896
2012,2012-06-26,6,JUMO,110,twig,D,4.54680292,1.018452555,3.528350365,1.365313869,2.163036496
2012,2012-06-26,6,JUMO,111,bole,D,1.718748894,0.412909706,1.305839188,0.644928442,0.660910747
2012,2012-06-26,6,JUMO,111,leaf,D,4.723635912,0.859324635,3.864311277,1.462265921,2.402045356
2012,2012-06-26,6,JUMO,111,root,D,2.742877612,0.22291712,2.519960492,0.709087797,1.810872696
2012,2012-06-26,6,JUMO,111,twig,D,4.339327636,1.316524217,3.022803419,0.736831909,2.28597151
2012,2012-06-26,6,JUMO,112,leaf,D,12.21340171,6.891504274,5.321897436,1.53765812,3.784239317
2012,2012-06-26,6,JUMO,112,twig,D,6.286618421,3.136461936,3.150156485,0.593183741,2.556972745
2012,2012-06-26,6,JUMO,113,bole,D,1.909513482,0.238146371,1.671367111,0.762434371,0.908932741
2012,2012-06-26,6,JUMO,113,leaf,D,7.274285714,2.053857143,5.220428572,1.190885714,4.029542858
2012,2012-06-26,6,JUMO,113,twig,D,3.629896123,1.056031177,2.573864947,0.907474031,1.666390916
2012,2012-06-26,6,JUMO,114,bole,HD,2.032345324,0.610647482,1.421697842,0.467683454,0.954014388
2012,2012-06-26,6,JUMO,114,leaf,HD,6.267640436,1.90036369,4.367276747,1.482305335,2.884971412
2012,2012-06-26,6,JUMO,114,root,HD,4.799752563,2.431231901,2.368520663,0.549908427,1.818612236
2012,2012-06-26,6,JUMO,114,twig,HD,5.552120223,1.36500644,4.187113783,1.77611593,2.410997854
2012,2012-06-26,6,JUMO,115,bole,HD,3.400969416,1.433643051,1.967326365,0.854047232,1.113279133
2012,2012-06-26,6,JUMO,115,leaf,HD,NA,NA,NA,NA,2.383813271
2012,2012-06-26,6,JUMO,115,root,HD,4.262133402,2.479371107,1.782762295,0.276838115,1.505924181
2012,2012-06-26,6,JUMO,115,twig,HD,6.984445902,3.355943794,3.628502108,1.098667916,2.529834192
2012,2012-06-26,6,JUMO,116,bole,D,2.938916929,0.95405119,1.984865739,0.850343062,1.134522677
2012,2012-06-26,6,JUMO,116,leaf,D,NA,NA,4.178787194,1.796522285,2.382264909
2012,2012-06-26,6,JUMO,116,root,D,2.818435579,0,2.818435579,1.067232614,1.751202965
2012,2012-06-26,6,JUMO,116,twig,D,7.507591218,3.259213444,4.248377774,1.505010711,2.743367063
2012,2012-06-26,6,JUMO,117,bole,H,2.683104691,1.162062734,1.521041957,0.525686331,0.995355626
2012,2012-06-26,6,JUMO,117,leaf,H,NA,NA,NA,NA,3.359281858
2012,2012-06-26,6,JUMO,117,root,H,7.723900889,5.290108463,2.433792426,0.847819542,1.585972885
2012,2012-06-26,6,JUMO,117,twig,H,4.248077165,1.840344472,2.407732694,0.750755982,1.656976712
2012,2012-06-26,6,JUMO,118,bole,H,0.357190244,0.150760975,0.206429269,0,0.206429269
2012,2012-06-26,6,JUMO,118,leaf,H,5.849602507,1.264117196,4.585485311,2.032884293,2.552601019
2012,2012-06-26,6,JUMO,118,twig,H,3.222329048,0.723540984,2.498788065,0.971537209,1.527250856
2012,2012-06-26,6,JUMO,119,bole,H,1.884982961,0.936942068,0.948040894,0.452458052,0.495582842
2012,2012-06-26,6,JUMO,119,leaf,H,6.56461017,1.052267198,5.512342972,1.838124484,3.674218488
2012,2012-06-26,6,JUMO,119,root,H,4.987960798,3.203741995,1.784218804,0.758308832,1.025909972
2012,2012-06-26,6,JUMO,119,twig,H,3.586504014,1.167723908,2.418780106,0.793805859,1.624974247
2012,2012-06-26,6,JUMO,120,bole,CC,1.526722302,0.990779856,0.535942446,0.414848921,0.121093525
2012,2012-06-26,6,JUMO,120,leaf,CC,6.556220492,1.890641585,4.665578907,1.090986972,3.574591936
2012,2012-06-26,6,JUMO,120,twig,CC,5.351964692,1.867642741,3.484321951,1.126970964,2.357350987
2012,2012-06-26,6,JUMO,121,bole,H,1.356470229,0.07549313,1.280977099,0.400610687,0.880366413
2012,2012-06-26,6,JUMO,121,leaf,H,4.249185186,1.470612086,2.7785731,1.33208577,1.44648733
2012,2012-06-26,6,JUMO,121,root,H,2.468293356,0.22254653,2.245746826,0.472651794,1.773095033
2012,2012-06-26,6,JUMO,121,twig,H,2.691750138,0.827218132,1.864532007,0.891504699,0.973027308
2012,2012-06-26,6,JUMO,122,bole,A,1.884045113,0.520304042,1.363741072,0.688495771,0.675245301
2012,2012-06-26,6,JUMO,122,leaf,A,9.437783677,3.638294432,5.799489245,1.823597865,3.975891381
2012,2012-06-26,6,JUMO,122,root,A,5.580347674,3.351532046,2.228815628,0.751567164,1.477248464
2012,2012-06-26,6,JUMO,122,twig,A,4.614757162,1.606369549,3.008387613,0.812046968,2.196340645
2012,2012-06-26,6,JUMO,123,bole,A,1.501928375,1.088639118,0.413289257,0.123482094,0.289807163
2012,2012-06-26,6,JUMO,123,leaf,A,9.290310568,4.166063881,5.124246687,1.994797825,3.129448862
2012,2012-06-26,6,JUMO,123,twig,A,4.885376,1.994843224,2.890532776,1.107063881,1.783468896
2012,2012-06-26,6,JUMO,124,bole,A,2.10386966,0.930330637,1.173539023,0.635923892,0.537615131
2012,2012-06-26,6,JUMO,124,leaf,A,5.751636804,1.11851816,4.633118644,2.195053269,2.438065376
2012,2012-06-26,6,JUMO,124,root,A,1.803296631,0.779479212,1.023817419,0.04952829,0.974289129
2012,2012-06-26,6,JUMO,124,twig,A,3.610057143,1.448685715,2.161371429,0.914857143,1.246514286
2012,2012-06-26,6,JUMO,125,bole,H,2.356831004,0.847418438,1.509412566,0.777836759,0.731575807
2012,2012-06-26,6,JUMO,125,leaf,H,7.571071208,2.260904025,5.310167183,1.706749227,3.603417957
2012,2012-06-26,6,JUMO,125,twig,H,4.427363504,1.261408134,3.16595537,1.233028572,1.932926799
2012,2012-06-26,6,JUMO,126,bole,CC,2.479546154,1.359323077,1.120223077,0.453784616,0.666438462
2012,2012-06-26,6,JUMO,126,leaf,CC,11.73244058,5.795814493,5.936626087,1.068075362,4.868550725
2012,2012-06-26,6,JUMO,126,twig,CC,4.527699684,1.912177296,2.615522388,0.948823157,1.666699232
2012,2012-06-26,6,JUMO,127,bole,CC,2.002364,1.121051,0.881313,0.450398,0.430915
2012,2012-06-26,6,JUMO,127,leaf,CC,NA,NA,3.7042682,1.768135377,1.936132823
2012,2012-06-26,6,JUMO,127,twig,CC,5.408734868,2.951772263,2.456962605,0.712285233,1.744677373
2012,2012-06-26,6,JUMO,128,bole,CC,2.324057196,1.327451135,0.996606061,0.576168963,0.420437098
2012,2012-06-26,6,JUMO,128,leaf,CC,7.333866342,3.222850168,4.111016174,1.082360696,3.028655478
2012,2012-06-26,6,JUMO,128,twig,CC,3.618481797,1.439075649,2.179406148,0.935381731,1.244024417
2012,2012-06-26,6,JUMO,129,bole,CC,0.764663191,0.166348697,0.598314494,0.308451721,0.289862774
2012,2012-06-26,6,JUMO,129,leaf,CC,10.66486844,4.742588789,5.922279646,2.021339233,3.900940413
2012,2012-06-26,6,JUMO,129,twig,CC,6.32963969,3.317482667,3.012157024,0.700433365,2.311723659
2012,2012-06-26,6,JUMO,130,bole,CC,1.533244445,0.574111111,0.959133334,0.252511111,0.706622223
2012,2012-06-26,6,JUMO,130,leaf,CC,8.642435923,2.23462668,6.407809243,2.881883317,3.525925926
2012,2012-06-26,6,JUMO,130,twig,CC,4.119795986,1.290358157,2.829437829,0.427994798,2.401443031
2012,2012-06-26,6,JUMO,131,bole,A,2.300587497,0.828291586,1.472295912,0.468104694,1.004191218
2012,2012-06-26,6,JUMO,131,leaf,A,NA,NA,NA,NA,3.956153992
2012,2012-06-26,6,JUMO,131,twig,A,4.400982299,1.646697058,2.754285241,0.809832929,1.944452312
2012,2012-06-26,6,JUMO,NATE,bole,A,0.811416246,0.073778228,0.737638018,0.452560836,0.285077183
2012,2012-06-26,6,JUMO,NATE,leaf,A,7.689534095,2.023822776,5.665711319,1.639336795,4.026374524
2012,2012-06-26,6,JUMO,NATE,twig,A,3.829778381,1.670874717,2.158903664,0.956736319,1.202167345
2012,2012-06-26,6,PIED,1,bole,CC,3.83204884,1.961423199,1.870625641,1.284148474,0.586477168
2012,2012-06-26,6,PIED,1,leaf,CC,5.694153897,2.23135598,3.462797917,1.962137036,1.500660881
2012,2012-06-26,6,PIED,1,twig,CC,12.1923789,6.241559648,5.950819253,3.704649813,2.24616944
2012,2012-06-26,6,PIED,10,bole,D,6.095714318,5.118163729,0.97755059,0.626067153,0.351483437
2012,2012-06-26,6,PIED,10,leaf,D,5.921539439,2.468446398,3.453093041,2.228129915,1.224963126
2012,2012-06-26,6,PIED,10,root,D,3.714422466,2.915884737,0.798537729,0.451691331,0.346846398
2012,2012-06-26,6,PIED,10,twig,D,15.02953404,9.667304676,5.362229359,2.525418546,2.836810814
2012,2012-06-26,6,PIED,11,bole,D,2.383980224,0.814193484,1.56978674,1.084079745,0.485706995
2012,2012-06-26,6,PIED,11,leaf,D,5.584029907,2.119212915,3.464816992,2.159146304,1.305670688
2012,2012-06-26,6,PIED,11,twig,D,6.050859457,0,6.050859457,3.405349682,2.645509775
