Date,Year,Species,ID,Ypd
2005-08-24,2005,JUMO,2,-0.55
2005-10-05,2005,JUMO,2,-0.65
2005-12-01,2005,JUMO,2,-1.175
2006-01-13,2006,JUMO,2,-1.9
2006-02-09,2006,JUMO,2,-1.75
2006-03-08,2006,JUMO,2,-0.925
2006-04-12,2006,JUMO,2,-0.925
2006-05-18,2006,JUMO,2,-2.05
2006-06-12,2006,JUMO,2,-2.9
2006-07-11,2006,JUMO,2,-0.675
2006-08-14,2006,JUMO,2,-0.75
2006-09-22,2006,JUMO,2,-0.85
2006-10-19,2006,JUMO,2,-0.825
2006-11-16,2006,JUMO,2,-1.3
2006-12-14,2006,JUMO,2,-1.55
2007-01-17,2007,JUMO,2,-1.8
2007-02-13,2007,JUMO,2,-1.15
2007-03-15,2007,JUMO,2,-0.575
2007-04-18,2007,JUMO,2,-0.625
2007-05-23,2007,JUMO,2,-0.525
2007-06-27,2007,JUMO,2,-2.2
2007-07-25,2007,JUMO,2,-3.4
2007-08-23,2007,JUMO,2,-3.05
2007-09-27,2007,JUMO,2,
2007-10-25,2007,JUMO,2,-2.6
2007-11-20,2007,JUMO,2,-3.7
2007-12-20,2007,JUMO,2,-2.8
2008-02-12,2008,JUMO,2,-3.225
2008-03-19,2008,JUMO,2,-1
2008-04-23,2008,JUMO,2,-0.725
2008-05-21,2008,JUMO,2,-0.625
2008-06-25,2008,JUMO,2,-1.9
2008-07-30,2008,JUMO,2,-1.85
2008-08-28,2008,JUMO,2,-0.625
2008-10-03,2008,JUMO,2,-2.55
2008-10-31,2008,JUMO,2,-0.975
2008-12-01,2008,JUMO,2,-1.36
2009-01-22,2009,JUMO,2,-1.345
2009-03-11,2009,JUMO,2,-1.315
2009-05-06,2009,JUMO,2,-0.555
2009-07-24,2009,JUMO,2,-2.2
2009-08-19,2009,JUMO,2,-1.035
2009-09-11,2009,JUMO,2,-1.855
2009-10-15,2009,JUMO,2,-0.815
2009-12-18,2009,JUMO,2,-3.265
2010-01-26,2010,JUMO,2,-2.185
2010-03-18,2010,JUMO,2,-0.785
2010-04-21,2010,JUMO,2,-0.61
2010-05-19,2010,JUMO,2,-0.625
2010-06-16,2010,JUMO,2,-1.505
2010-07-28,2010,JUMO,2,-0.995
2010-08-25,2010,JUMO,2,-1.155
2010-09-29,2010,JUMO,2,-1.035
2010-10-20,2010,JUMO,2,-2.48
2010-11-17,2010,JUMO,2,-2.585
2010-12-22,2010,JUMO,2,-1.325
2011-01-26,2011,JUMO,2,-1.815
2011-02-24,2011,JUMO,2,-0.845
2011-03-23,2011,JUMO,2,-1.705
2011-04-28,2011,JUMO,2,-3.83
